rusher_player_id,rusher_player_name,yards_above_expected,rush_attempts
00-0036139,R.Dowdle,0.0638896852340427,235
00-0037594,J.Chestnut,0.0586284090909092,22
00-0035567,C.Reynolds,0.011533582903226,31
00-0033955,J.McNichols,0.00951303918032803,61
00-0039040,D.Achane,-0.006277497192118,203
00-0039075,P.Nacua,-0.0218301966666665,12
00-0036328,A.Gibson,-0.0464314164999998,120
00-0035700,J.Jacobs,-0.0596994673831774,321
00-0028118,T.Taylor,-0.0632012833333331,3
00-0033293,A.Jones,-0.0672988683582087,268
00-0034771,M.Rudolph,-0.1095369004,25
00-0035628,D.Johnson,-0.1218600075,32
00-0039384,T.Tracy,-0.1368938475,192
00-0037557,R.Rivers,-0.1450689444,25
00-0033119,J.Brissett,-0.145706992666667,15
00-0036355,J.Herbert,-0.155788470571428,70
00-0038597,C.Brown,-0.156468958695652,230
00-0033077,D.Prescott,-0.17167543,13
00-0036414,C.Akers,-0.172843341009174,109
00-0035924,J.Ward,-0.20634585,5
00-0036096,J.Taylor,-0.20634585,10
00-0031280,D.Carr,-0.215127293529412,17
00-0037256,R.White,-0.222535372206896,145
00-0038794,J.McLaughlin,-0.227498960956522,115
00-0039342,X.Legette,-0.22868563,6
00-0035685,D.Montgomery,-0.238304485647668,193
00-0037746,B.Robinson,-0.242814670986547,223
00-0039165,Z.Charbonnet,-0.258184340222222,135
00-0039152,W.Levis,-0.276715770888889,45
00-0037840,K.Williams,-0.288343418376068,351
00-0030578,C.Patterson,-0.30104871625,32
00-0037228,J.Warren,-0.307761279016393,122
00-0033897,J.Mixon,-0.335393125931034,290
00-0038098,P.Strong,-0.336296551538461,26
00-0033906,A.Kamara,-0.342503454210526,228
00-0034272,M.Valdes-Scantling,-0.35457237,1
00-0038120,B.Hall,-0.375832533207547,212
00-0038996,T.Kraft,-0.39925193,5
00-0035261,T.Pollard,-0.410563034367816,261
00-0034208,M.Boone,-0.431495446923077,13
00-0035710,D.Jones,-0.433446963823529,68
00-0035594,T.Homer,-0.47927679,6
00-0039868,T.Franklin,-0.48045911,2
00-0038622,D.Vaughn,-0.481293688823529,17
00-0039373,A.Estime,-0.484331965263158,76
00-0036670,J.Jefferson,-0.499075593333333,6
00-0033854,D.Ogunbowale,-0.51935534625,32
00-0033280,C.McCaffrey,-0.5235443584,50
00-0039875,R.Davis,-0.539088023333333,120
00-0036893,N.Harris,-0.557721920855018,269
00-0038122,D.Ridder,-0.578371018888889,9
00-0036924,M.Carter,-0.590134643142857,35
00-0037327,S.Thompson,-0.60634585,1
00-0035250,D.Singletary,-0.60986034699115,113
00-0037012,T.Lance,-0.615855393636363,11
00-0036906,K.Herbert,-0.621071372777778,36
00-0038476,T.DeVito,-0.6220816925,8
00-0036875,R.Stevenson,-0.639476872222222,207
00-0036898,D.Mills,-0.687905703333333,3
00-0036275,D.Swift,-0.710345893952569,253
00-0033923,K.Hunt,-0.724626624912281,228
00-0033009,T.Boyd,-0.72513867,1
00-0037745,V.Jones,-0.72986795,3
00-0035243,M.Sanders,-0.737164434,55
00-0038551,K.Miller,-0.737233157179487,39
00-0031503,J.Winston,-0.757621542,25
00-0036997,J.Williams,-0.775028246438356,146
00-0034115,J.Wilson,-0.7763365275,16
00-0038134,K.Walker,-0.788019576405229,153
00-0039794,B.Allen,-0.789817625652174,92
00-0036973,T.Etienne,-0.815010030666666,150
00-0039032,T.Spears,-0.817127552380952,84
00-0037197,I.Pacheco,-0.826536170416666,96
00-0029263,R.Wilson,-0.846362365217391,46
00-0036919,K.Gainwell,-0.8464933575,88
00-0038738,H.Luepke,-0.894169976666667,12
00-0034184,G.Edwards,-0.897662516238532,109
00-0039738,B.Corum,-0.931027742068965,58
00-0036360,C.Edwards-Helaire,-0.961364762307692,13
00-0038678,J.Mims,-0.974164773,20
00-0039874,J.Wright,-0.979755380294117,68
00-0033948,Ja.Williams,-1.01658491583333,48
00-0036972,M.Jones,-1.03289044428571,28
00-0039391,K.Vidal,-1.03682587046512,43
00-0039299,G.Holani,-1.06320128333333,3
00-0035806,J.Hasty,-1.074519469,20
00-0039325,C.Steele,-1.08446724964286,56
00-0033925,D.Foreman,-1.13129305309859,71
00-0036264,J.Love,-1.13392657444444,27
00-0037740,G.Wilson,-1.1621953,2
00-0035216,Di.Johnson,-1.16574226,2
00-0039747,A.Smith,-1.16574226,2
00-0034791,N.Chubb,-1.18482908627451,102
00-0036251,Z.Moss,-1.21529235621622,74
00-0034869,S.Darnold,-1.21984577253521,71
00-0037487,D.Thompkins,-1.23223259,2
00-0031687,R.Mostert,-1.26466863211765,85
00-0035719,D.Samuel,-1.28732342190476,42
00-0039796,R.Ali,-1.330104414,10
00-0037276,T.Chandler,-1.3316180975,56
00-0035289,G.Minshew,-1.34832011631579,19
00-0037617,H.Haskins,-1.35953638028571,35
00-0036613,J.Waddle,-1.386044055,4
00-0034972,A.Mattison,-1.43642414641791,134
00-0034177,T.Boyle,-1.43849686333333,3
00-0033045,E.Elliott,-1.47403787648649,74
00-0037609,A.Shampklin,-1.47927679,6
00-0039021,R.Johnson,-1.48996865363636,55
00-0036984,T.Sermon,-1.49730283571429,56
00-0039692,D.Pettus,-1.59925193,1
